Feature,Mann-Whitney U statistic,p-value
sex,7822.5,0.9566668373234053
age,7697.5,0.8426510343851732
FIQ,7750.0,0.9163659920739642
msrs1,7765.5,0.9347762457926838
msrs2,7777.5,0.9513937276900168
msrs3,7829.0,0.97275391453675
msrs4,7661.0,0.7861551208638444
msrs5,7800.5,0.9860614658291292
msrs6,7722.5,0.8725429577670331
msrs7,7707.5,0.8452273429380037
msrs8,7791.0,0.9704789132615853
msrs9,7657.5,0.7806609674114555
msrs10,7829.5,0.9730059379732447
msrs11,7937.5,0.8174906772448968
msrs12,7864.5,0.9199468087384841
msrs13,7717.5,0.8652056617525985
msrs14,7686.5,0.8229309694905678
msrs15,7753.5,0.9127878908173466
msrs16,7807.5,0.996312634353925
msrs17,7882.5,0.8927213621438896
msrs18,7879.0,0.9010502162280243
msrs19,7748.5,0.9096222967326378
msrs20,7815.0,0.9941489462876987
msrs21,7930.5,0.8247970596911848
msrs22,7721.5,0.8686143185216908
msrs23,7769.0,0.9404450928248566
msrs24,7715.5,0.8605533623299104
msrs25,7797.5,0.9817678701462396
msrs26,7913.5,0.8494944316843834
msrs27,7739.0,0.8951280754639921
msrs28,7720.5,0.8701150136418653
msrs29,7728.0,0.8808058269866869
msrs30,7648.5,0.7676013865431716
msrs31,7694.0,0.8303473691964101
msrs32,7818.5,0.9890590987435598
msrs33,7780.5,0.9567166589236274
msrs34,7802.0,0.9882394926841562
msrs35,7795.5,0.9788109455592591
msrs36,7804.0,0.9908514379385792
msrs37,7716.5,0.8646231840409224
msrs38,7924.0,0.826991614532274
msrs39,7826.0,0.9783366229974774
msrs40,7749.5,0.9113114282107422
msrs41,7718.5,0.8669464854418996
msrs42,7685.5,0.8204760421852718
msrs43,7772.5,0.9456795548118817
msrs44,7702.5,0.8436144870247819
msrs45,7810.5,1.0
msrs46,7745.5,0.9005603223486267
msrs47,7768.0,0.9391471886609715
msrs48,7692.5,0.8229265099124509
msrs49,7798.0,0.9825128444991956
msrs50,7787.5,0.9661061879016457
msrs51,7849.5,0.9435785387431058
msrs52,7866.5,0.9168629578373008
msrs53,7813.5,0.99627887361646
msrs54,7735.5,0.8844359482978313
msrs55,7767.0,0.93562533088838
msrs56,7744.5,0.9046289281721234
msrs57,7802.0,0.9884432869023962
msrs58,7707.5,0.8517353927454606
msrs59,7749.0,0.9072879799275748
msrs60,7682.0,0.8156286297346755
msrs61,7702.5,0.844208540628203
msrs62,7644.5,0.7618034938834359
msrs63,7793.0,0.9751635093180719
msrs64,7727.0,0.8794770025528157
msrs65,7746.0,0.9057610796455088
cbcl1,7727.0,0.8751816031297059
cbcl3,7789.0,0.9687598449888457
cbcl7,7731.0,0.8743441717658538
cbcl8,7762.5,0.9245579152318048
cbcl9,7734.5,0.8868940143435373
cbcl10,7842.5,0.9528335359972999
cbcl11,7697.5,0.8334867949356871
cbcl12,7839.5,0.9553635262187131
cbcl13,7810.5,1.0
cbcl14,7785.0,0.9618716273768441
cbcl16,7781.5,0.9322666304686101
cbcl17,7684.5,0.8150076974520151
cbcl19,7711.5,0.8519707981250698
cbcl20,7746.0,0.8874462112027766
cbcl21,7764.5,0.9203847694218559
cbcl22,7814.5,0.9946414315657546
cbcl23,7832.5,0.9666580503359747
cbcl25,7889.5,0.8803873059151143
cbcl26,7804.0,0.9908599399085721
